Unnamed: 0,Screen_name,Name,Number_of_Followers,Location,Url,description,profile_image,Category
0,@michele_geraci,"Prof Michele Geraci, fmr Undersecretary of State",9091.0,"Roma, Shanghai, Londra, NY",https://t.co/XtSQcDhXsW,"𝗔𝘀 𝗹𝗼𝗻𝗴 𝗮𝘀 𝗽𝗼𝘃𝗲𝗿𝘁𝘆, 𝗶𝗻𝗷𝘂𝘀𝘁𝗶𝗰𝗲 𝗮𝗻𝗱 𝗶𝗻𝗲𝗾𝘂𝗮𝗹𝗶𝘁𝘆 𝗽𝗲𝗿𝘀𝗶𝘀𝘁 𝗶𝗻 𝗼𝘂𝗿 𝘄𝗼𝗿𝗹𝗱, 𝗻𝗼𝗻𝗲 𝗼𝗳 𝘂𝘀 𝗰𝗮𝗻 𝐫𝐞𝐬𝐭",https://pbs.twimg.com/profile_images/1367523617693523968/MFkLQ5wS_normal.jpg,Fashion
1,@RevistaMercados,Mercados,19133.0,"Sevilla, Spain",http://t.co/uqpVH4o33s,"Revista especializada en el sector de frutas y hortalizas a nivel nacional e internacional, con información y análisis diarios del sector.",https://pbs.twimg.com/profile_images/1269995764140384257/qGTkyuYV_normal.jpg,Fashion
2,@Jilliemary,Jillian Peeling,163328.0,County Durham,,"Not very good at house work, but I keep trying. I am a middle aged woman still figuring out what I want to be when I grow up.Vice President of @2OCT2014",https://pbs.twimg.com/profile_images/2475715699/j0ryzpry0edymr504mhm_normal.jpeg,Fashion
3,@soniamugabo,Sonia Mugabo,8574.0,Rwanda,https://t.co/RCsiPOr2m9,"Destination for the fashion girl’s essentials | Made in Rwanda 🇷🇼 | Gishushu, 43 KG 599 ST",https://pbs.twimg.com/profile_images/939475395866447872/6TZUTyvq_normal.jpg,Fashion
4,@elicanngango,Ngango Elican 🇷🇼,7248.0,Rwanda,,"#Rwanda is my past, my present and my future.|| #TeamPK|| Music 🎼 is life itself.|| There are only two games: ⚽️ and others.|| Co-owner: @nkn_sports",https://pbs.twimg.com/profile_images/1386386571822354434/0qrIk3p-_normal.jpg,Fashion
6,@AntiquingOnLine,AntiquingOnLine,15378.0,,https://t.co/OgDnPyxtMG,Offering quality #antique & #vintage #jewelry for sale. View our exceptional collection at http://t.co/wi3lj9iTBn You'll be glad you did!,https://pbs.twimg.com/profile_images/633715990841454592/Uk5sB63I_normal.png,Fashion
8,@EricStoffle,Eric Stoffle,21161.0,,https://t.co/1ejSGUpYkz,I write thrillers and more. Trading Lives is about a young woman with a good heart but deadly hands! I'd love it if you gave it a read and give your feedback.,https://pbs.twimg.com/profile_images/977974904455770112/pJ7VGMkI_normal.jpg,Fashion
9,@2ta_204,آيات,13723.0,Sudan,https://t.co/wF6cIn08v5,‏‏‏‏‏طالو الناس التريانين ...  ضلّو الله الما ضلّانا,https://pbs.twimg.com/profile_images/1355983284006739969/07ZUjbKE_normal.jpg,Fashion
0,@littlefabshop,TheLittleFabricShop,17823.0,"Felixstowe, Suffolk, UK",http://t.co/8rcmxmBsUN,"✂️The Little Fabric Shop .. Beautiful Fabric, Haberdashery, Ribbons, Buttons, Fat Quarter Bundles & Sew much more.  Jane & Warren #Felixstowe  #Fabric",https://pbs.twimg.com/profile_images/1061886265203847168/6sTAEo7k_normal.jpg,Food
1,@ProfTimNoakes,Tim Noakes,144366.0,"Cape Town, South Africa",http://t.co/bfNQs3QShR,"Author, Emeritus Professor, runner, LCHF/Banting/CrossFit proponent. No longer registered medical doctor. Spreading scientific information, not medical advice.",https://pbs.twimg.com/profile_images/3067917348/98f3a74d66ea724935c175bca4aaa134_normal.jpeg,Food
2,@BestRecipesUK,Best Recipes UK,197802.0,"Whitley Bay, England",https://t.co/Wpi9RIO3pX,A recipe blog for anyone that loves food! #recipes #RecipeOfTheDay #food #recipeblog,https://pbs.twimg.com/profile_images/967828529776865280/qD2oyJH2_normal.jpg,Food
3,@NST_Online,New Straits Times,747772.0,Malaysia,https://t.co/S2b1G5M2AR,"News, views and up-to-date reports from Malaysia's premier news source. All that and more at https://t.co/S8jbx5pMaF",https://pbs.twimg.com/profile_images/1319812182591246336/04HH7EWX_normal.jpg,Food
4,@veganfuture,Vegan Future,117873.0,,http://t.co/XmF4WKyj5G,"Vegan Future raises awareness about the cruelty of the meat, egg and dairy industries and promotes the health and environmental benefits of veganism.",https://pbs.twimg.com/profile_images/463367350364803074/fax_M7LX_normal.jpeg,Food
5,@uniworldnews,UniversityWorldNews,21203.0,,http://t.co/NwCQiknMWQ,The first truly global independent higher education publication,https://pbs.twimg.com/profile_images/1318251484149055490/KqkRTWPH_normal.jpg,Food
6,@CapeTown,🐙 Cape Town,358255.0,"Cape Town, South Africa",https://t.co/QXbZC67g4g,Curated Cape Town since 2007 | Fiercely Independent | Conversational @iAmnotMany - Entrepreneur & Digital Content Strategist - Limited Promos🕯∂εε,https://pbs.twimg.com/profile_images/1143464431034294272/bRRzipeH_normal.png,Food
7,@GAINalliance,GAIN,29568.0,Geneva,https://t.co/minHMpsnBN,"The Global Alliance for Improved Nutrition (GAIN) builds partnerships to increase access to food that is safe, nutritious and affordable to all.",https://pbs.twimg.com/profile_images/1097556269119008768/QGj5aGzD_normal.png,Food
8,@gulf_news,Gulf News,1223766.0,United Arab Emirates,https://t.co/U14GSH7t8h,We don't just cover the news - we uncover the truth. The official Twitter feed from Gulf News.,https://pbs.twimg.com/profile_images/1274589861308235776/Zbiu5Z5P_normal.jpg,Food
9,@HiHyderabad,Hi Hyderabad,29625.0,"Hyderabad, India",https://t.co/V8nVDZZ9em,"Tweets from Hyderabad and Hyderabadis. ❤️ Hyderabad ❤️ Telangana ❤️ India.   
 హైదరాబాద్ --- حیدراباد --- हैदराबाद",https://pbs.twimg.com/profile_images/1302258529542107137/GVwKF158_normal.jpg,Food
11,@MomsWhoSave,MomsWhoSave.com,114720.0,United States,http://t.co/hS3vk417pd,#Lifestyle #Family #Food #Travel #Reviews #Blogger and #TwitterParty host | contact: pr@momswhosave.com. Everywhere @ MomsWhoSave.,https://pbs.twimg.com/profile_images/1343333045366104065/g0RJaw5Z_normal.jpg,Food
12,@Veganella_,Veganella 🥦,30518.0,,https://t.co/xA8J3TD3hJ,It takes nothing away from a human to be kind to an animal 🌱✌🏼🌍 She/her 😊,https://pbs.twimg.com/profile_images/1324645573803319298/YoNNArsQ_normal.jpg,Food
19,@BrendaOak4,Brenda Marsh,11954.0,"Fort Wayne, IN",https://t.co/pxwxlpKroM,"Etsy Shop Hand Painted Porcelain and Vintage 
 https://t.co/pxwxlpKroM",https://pbs.twimg.com/profile_images/563169873522466816/2S7a5Sqs_normal.jpeg,Food
21,@veganfamily,VeganFamily,19684.0,Scotland,https://t.co/50j1KZOZb6,"Vegan Family House - https://t.co/qItdM7PWEo Recipes, books, photos, reviews. Vegan for 23 years.",https://pbs.twimg.com/profile_images/1667521869/creamtom_normal.jpg,Food
22,@Gambiste1,Joe Gambiste,11611.0,,https://t.co/qo0E93oDSt,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. Find hot stocks with @GambisteFinance.",https://pbs.twimg.com/profile_images/1283519597640122368/X8uTqLDm_normal.jpg,Food
23,@NightHelperBlog,LisaLisa C,32408.0,Midwest,https://t.co/8pdTz8XO1I,"Wears many hats: #Mom, #Wife, #Inventor, #LoverofGod, #MIBlogger, #BrandAmbassador #TwitterPartygal #Entertainment #TravelBlogger #SocialMedia #Tech #Reviewer",https://pbs.twimg.com/profile_images/1080155045310672897/GCmIZeAb_normal.jpg,Food
24,@veganposters,Vegan Posters,8313.0,Compassionsville,https://t.co/1WmW3arcFx,We've made a bunch of awesome vegan posters for you. Please share them far and wide and follow us for the latest.,https://pbs.twimg.com/profile_images/905025394969063426/X-gvBjet_normal.jpg,Food
25,@aceonlineorg,ACEonline.org,9089.0,USA,https://t.co/MwYConKi7z,"ACE is a non-profit organization with 6,000+ members dedicated to the preservation, promotion, appreciation & safe enjoyment of roller coasters. 🎢 #RideWithACE",https://pbs.twimg.com/profile_images/930693227207852032/FELydbJF_normal.jpg,Food
27,@_AnimalAdvocate,ANIMAL ADVOCATE  Ⓥ,79298.0,An earthling. Aren't we all?,http://t.co/Agx40oLtIR,"💖 An uncompromising voice for the voiceless 🐬💕
Making #films for #animals. A #vegan trying to put #compassion into action💖 If not us, who? If not now, when?",https://pbs.twimg.com/profile_images/378800000033292373/e3662cd7ba944e6cc69bdac0fd306d4c_normal.jpeg,Food
0,@cerysmatthews,Cerys Matthews (Ms),92335.0, Cofiwch Dryweryn,https://t.co/KJhQ9xSwgF,We Come From The Sun:Hidden Orchestra&10poets/Decca. Where the Wild Cooks Go/Penguin. BBC6+2. info@harmonicartists.com Voice: info@loudandclearvoices.com,https://pbs.twimg.com/profile_images/1137056803722878978/sJtL4wxy_normal.png,Music
1,@MotloutsiShimmy,Minister of broke boyfriends,24723.0,"Tzaneen, South Africa",,I speak my mind.,https://pbs.twimg.com/profile_images/1381956428278161409/O1xGORQn_normal.jpg,Music
2,@navgujaratsamay,NavGujarat Samay,26801.0,"Ahmedabad, Gujarat",https://t.co/Q3Yqd2sJhn,Checkout More @ Epaper: https://t.co/7w6vkodFS8 | FB: https://t.co/K9fQ5qWOn1 | Telegram: https://t.co/5CdOejL6GB | Instagram: https://t.co/NNLh5SX3H7 |,https://pbs.twimg.com/profile_images/1251611801944350721/E0Z5wIB3_normal.jpg,Music
3,@michel_fadel,michel fadel,219436.0,Lebanon,https://t.co/xcOcLSTP2q,"Music Composer, producer and pianist. Owner Michel Fadel Studio
Check out #FlySolo on YouTube ⬇️",https://pbs.twimg.com/profile_images/1337033420204072962/ooYMYWLJ_normal.jpg,Music
5,@CeciliaEgan1,Cecilia Egan,15132.0,London UK 🇬🇧 & Ireland 🇮🇪 ,,"🦋   I go where the wind blows. May the wind blow kindly for you may it forever be your friend. 🦋 
Photography. Art. Photos my own.
No DM. No Groups. No Porn.",https://pbs.twimg.com/profile_images/1304494840894414851/dW07eTRY_normal.jpg,Music
6,@UNinSouthAfrica,UN in South Africa,15337.0,"Pretoria, South Africa",https://t.co/TcWe72HVxL,"Official Twitter handle of the @UN System in #SouthAfrica. 

Facebook: https://t.co/gKekQkyKnm",https://pbs.twimg.com/profile_images/1121035695148105730/uLNbGhbq_normal.png,Music
7,@o_franco_aleman,Franck Marc,18279.0,Europe Europa ,,"frontalier - Grenzgänger - raiano              
(all photos are mine, except RT- RESPECT COPYRIGHT!)
-don't follow 2 unfollow or if you only like your own stuff",https://pbs.twimg.com/profile_images/715214834158145536/W2LG-9U-_normal.jpg,Music
16,@ArtistRTweeters,Artist RTs,11301.0,USA,,"Artist Retweets. Supporting Artist Worldwide, Music or ART!
@ us for a retweet and use #music or #digitalart for a retweet",https://pbs.twimg.com/profile_images/1245407076039438338/KbG00RBG_normal.jpg,Music
18,@WoodooProd,Woodoo Prod,36854.0,Somewhere in Time..,https://t.co/4GjSb61kml,Woodoo Prod .:Sounds From Earth:. Music Producer. Talent Hunter.  Net Label. Social Media Consultancy. CM. Musicoin Ambassador. #BCH Power,https://pbs.twimg.com/profile_images/493705670961553408/52vJb2Al_normal.png,Music
19,@BotOfDogecoin,Dogecoin,53590.0,the moon,,Retweeting and promoting #Dogecoin,https://pbs.twimg.com/profile_images/1358571281961148422/YiIQoS2S_normal.jpg,Music
25,@RadiozityMusic,Radiozity Music ♬,6447.0,Helping musicians from Twitter and Periscope!,https://t.co/l9osMBjFcW,"Where words fail, music speaks. Follow us for fresh music videos from Twitter. Promote your music for free! DM is open to all. #Music #NewMusic",https://pbs.twimg.com/profile_images/992804435188269056/8qkrxkv7_normal.jpg,Music
26,@isrrocks,Indie Star Digital Media,12857.0,Rt. 66 and Around The World! ,https://t.co/DcfWKyLNiZ,"More than just Radio. Our Mailing address: 147 w route 66, #657 Glendora, California, 91740
https://t.co/BW96T0vF0q",https://pbs.twimg.com/profile_images/1350988261821456389/5PYGRbEu_normal.jpg,Music
27,@VumaFM,Vuma FM,36345.0,"KwaZulu, South Africa",https://t.co/VLx4iacJeP,Welcome to Vuma 103 FM - Adult Radio for the Young at Heart WhatsApp- 065 933 7172,https://pbs.twimg.com/profile_images/1243069024973570049/QRLyF3IL_normal.jpg,Music
28,@BriMatjuda,Madame Thickness,74452.0,,https://t.co/MmULyISafb,YAHUAH's masterpiece artwork - fearfully and wonderfully made. My story is for His glory ❤ #thickgirlmagic,https://pbs.twimg.com/profile_images/1311722850752045061/ajl4Dgo4_normal.jpg,Music
29,@ConcoursTwittos,Le Top Des Concours™,9795.0,Partout Et Nulle Part,https://t.co/B5LdfXkxpg,Gagnez en visibilité pour vos concours. Ne passez plus jamais à côté des meilleures occasions de remporter le gros lot !! Une donation = 1 RT ou Pub,https://pbs.twimg.com/profile_images/378800000451857831/4f8ac9777cb005577895f136c181c528_normal.png,Music
1,@GrowURStream,Social Links,77403.0,Worldwide,https://t.co/mFiEYVsgOU,All your social media links at one place. Social Links is a tool that solves the problem of only having one link on social platforms.  #linktree,https://pbs.twimg.com/profile_images/1363354265666744322/MI_7nKgO_normal.png,Tech
4,@madewithUnreal,MadeWithUnreal,7281.0,,https://t.co/wxLhLf09bz,Showcasing #indiegames made with Unreal Engine. Community run & #MadeWithUnreal. Header: https://t.co/y3RkBamu6E Newsletter: https://t.co/f7CHVCWwBF,https://pbs.twimg.com/profile_images/886527474166792193/r00_Abk2_normal.jpg,Tech
5,@Computing_News,Computing.co.uk,22523.0,"London, UK",http://t.co/A4Kp9uUzti,Computing is the UK's leading business technology publication for IT leaders.,https://pbs.twimg.com/profile_images/426394113143873536/kbiwqFO9_normal.jpeg,Tech
9,@femtech_,FemTech_🖥👩🏽‍💻,21189.0,"Berlin, Deutschland",,"I'm a friendly bot retweeting female developers, engineers, scientists and their stories. #girlswhocode #womenintech  #womeninstem
Made by @frankanka",https://pbs.twimg.com/profile_images/1143536112088035331/XDEmFAaj_normal.png,Tech
10,@Streamer_Boost,Streamer Boost,19446.0,Worldwide,https://t.co/V6EHcFCh3D,"Want to grow your channel like never before? become a featured streamer at https://t.co/VuqlPcBRxt. 
Going live? tag us and follow us to get a retweet from us. ♥",https://pbs.twimg.com/profile_images/1354916773892599810/1yPU9Mr5_normal.jpg,Tech
13,@laVeilleTechno,La veille techno,10067.0,,,Les derniers articles du web sur les nouvelles technos,https://pbs.twimg.com/profile_images/837934283/avatar_normal.jpg,Tech
15,@IndieDevDog,🐕 IndieDevDog 🐕,9640.0,,https://t.co/pZlSzSMbIx,I'm a bot I retweet #indiedev #gamedev my owner @TDogVoid. I randomly pick a tweet every 10 mins or so Source Code: https://t.co/8DR7NCWNfD,https://pbs.twimg.com/profile_images/720526895285145601/QnCGsRbz_normal.jpg,Tech
16,@cybersec_feeds,Cyber Security Feed,16126.0,Internet,,check out a privacy oriented social media platform 👉🏾https://t.co/KkqBnPkRZK Cyber Security News in 1 place! Retweets original Cyber Sec tweets. 🤖 made by @AbdirahiimYa,https://pbs.twimg.com/profile_images/1131855016766124032/vhasETOF_normal.jpg,Tech
17,@StreamerWall,Streamer Wall,32790.0,Worldwide,https://t.co/VuqlPcBRxt,"Want to grow your channel like never before? become a featured streamer at https://t.co/VuqlPcBRxt. 
Going live? tag us and follow us to get a retweet from us. ♥",https://pbs.twimg.com/profile_images/1308543547897982976/LlZp-FgM_normal.jpg,Tech
18,@VladoBotsvadze,Vladimer Botsvadze,56127.0,NYC | London | Dubai ,https://t.co/x4lHJlbnMv,No. 1 🌎 Marketing Influencer by @thinkers360 | Speaker @MotivationalUK🇬🇧| Professor | F500 Consultant |Member of @CMO_Council & @dandad | Mentor @micromentor,https://pbs.twimg.com/profile_images/1367192831937421324/v0Yx6Vxm_normal.jpg,Tech
19,@sectest9,Security Testing,35773.0,"Hyderabad, India",,News Hub! Get the latest Security News & Updates!,https://pbs.twimg.com/profile_images/710735123876982784/GjV7JWMk_normal.jpg,Tech
20,@CyberSecurityN8,Cyber Security News,15725.0,,,"The place for InfoSec, CyberSecurity, DevSecOps, DataSecurity and many more!!! Stay tuned.",https://pbs.twimg.com/profile_images/1197135188473475074/8svI-1EO_normal.jpg,Tech
21,@AaronCuddeback,Aaron ''Midlife Coder'' Cuddeback,14999.0,"Sacramento, CA",https://t.co/oLCJZbKKZ3,"Midlife Coder
Father, Entrepreneur, CEO, Software Developer,  Fearless.
owner: https://t.co/YVyJ5hCGlt",https://pbs.twimg.com/profile_images/1296150707821637639/CaDtXQlj_normal.jpg,Tech
22,@researchmrx,MRX,7457.0,New Jersey,,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",https://pbs.twimg.com/profile_images/1082501359629287424/wxvBLPtH_normal.jpg,Tech
23,@andrewmorrisuk,Andrew Morris,13086.0,Bedford,,Passionate about how IT solutions can bring positive value to our business and personal lives. Proud #autisticparent,https://pbs.twimg.com/profile_images/1138114915619749888/1e0u-1mE_normal.png,Tech
24,@RetroGameGeeks,Retro Game Geeks,20305.0,The Past,https://t.co/tESUvEgzTq,We are RGG™ We post tweets about video games and try to be funny. It doesn't always work but growing up is just so very overrated. We rescued Transbot from Sega,https://pbs.twimg.com/profile_images/1396033402348970010/qJFod_zr_normal.png,Tech
25,@YvesMulkers,Yves Mulkers,96265.0,Belgium,https://t.co/xpy7fPCptT,"#Data strategist. Define & Design #Data #Strategy for Impact. Love Music and DJ-ing, Founder @7wData",https://pbs.twimg.com/profile_images/975114008301789184/rOaCSOdl_normal.jpg,Tech
26,@ShawnDoubleA,Shawn Alexander Allen,8935.0,"NYC Native, now in ATL",https://t.co/xAe1DUZrlw,"Artist. Writer. Game Designer. Activist. 
Founder @Nuchallenger 
Released Treachery in @Beatdown_City 
Co-Organizer @gdocexpo 
#blackgamedev he/they",https://pbs.twimg.com/profile_images/1351388603599958023/dPRcOQ78_normal.jpg,Tech
27,@HSajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,105440.0,"Dubai, United Arab Emirates",https://t.co/v6BVI19k76,"Hassan Sajwani an #Emirati tweets #news #tech business #counterTerrorism, politics, RTs not endorsements.Patriot #الله_ثم_الوطن_ثم_رئيس_الدولة Personal account",https://pbs.twimg.com/profile_images/1361772856372322313/YV4qL2I__normal.jpg,Tech
28,@JLUX100promo,JLUX100™🕊️promo,25684.0,"Ontario, CA",https://t.co/jaQgU0L86L,Promotional account for @JLUX100 & loved ones. Artist☆Broadcaster☆Creator♡Entertainer ♡Philanthropist @Twitch♡@Humble https://t.co/4uRuvvQr99  🌌⛩️💮⛩️💯,https://pbs.twimg.com/profile_images/1339508287247687684/PuQFFpTy_normal.jpg,Tech
29,@xboxdynasty,Xboxdynasty,8919.0,"Nordrhein-West., DE, Iserlohn",https://t.co/Via8H4cElB,https://t.co/Via8H4cElB • Xbox Community from Germany • Xbox 24/7 since 2003 • Xbox MVP since 2007,https://pbs.twimg.com/profile_images/927760401722499072/buU6ZATM_normal.jpg,Tech
30,@SOSmcWIN,SOSmcWIN / mfw RTs,12538.0,Available 24/7,https://t.co/xCPhPzEzeE,✯ Helping #SupportSmallStreamers Since 2017! ✯ Follow & mention for RTs! 🌟 BOT ONLINE + SPEED = 35s 🌟 Primarily will RT streamers or those who are live!,https://pbs.twimg.com/profile_images/1293339412093448196/TyTmM0uk_normal.jpg,Tech
31,@Glasgow_Watch,Glasgow Watch,7765.0,"Glasgow, Scotland",,I randomly RT content from in and around Glasgow to present a slice of Clydeside life. Sister account to @EdinburghWatch. Created by actual human @ardavey.,https://pbs.twimg.com/profile_images/1164654077596307459/GF6F1bgd_normal.jpg,Tech
32,@datosgob,datos.gob.es,16774.0,España,http://t.co/WYv9FS7BWX,"Datos.gob es la plataforma nacional que organiza y gestiona el Catálogo de datos abiertos del Sector Público, e impulsa servicios avanzados basados en ellos.",https://pbs.twimg.com/profile_images/1271028171333402625/BMMX8JZV_normal.jpg,Tech
33,@kuriharan,Kohei Kurihara -DataPrivacy for Fighting Covid-19-,54012.0,"Tokyo-to, Japan",https://t.co/r7lP3ReEuX,"Co-founder @pbdlab, develop data privacy culture and collaborative measures for future data society. Let’s make collaboration for sustainable society together!",https://pbs.twimg.com/profile_images/1062357613289979909/NLvrLDsv_normal.jpg,Tech
34,@GamingRTweeters,Gaming RTs,8676.0,,,"Gaming Retweets. Supporting Gamers Worldwide!
@ us for a retweet and Use the hashtag gamer
No follow needed ;)",https://pbs.twimg.com/profile_images/1245406538715594761/Qo_GUlnd_normal.jpg,Tech
35,@WritNelson,"Xalavier Nelson Jr. @ Dog Airport Game, out now!",15434.0,USA,https://t.co/SR9QRAqsHU,"Made Dog Airport Game and SWOTS. Narrative for Hypnospace Outlaw, SkateBIRD, and more. BAFTA-nominated. Comics! Christian. He/Him.",https://pbs.twimg.com/profile_images/1153540304580034561/f2Nq9FVH_normal.png,Tech
36,@marshawright,Real Marsha Wright® | www.RECIPROCATE.network,527871.0,USA|EUROPE|ASIA|GLOBAL✈️,https://t.co/Zs7pU9cRcM,Serial-Entrepreneur as seen on TV★ CEO https://t.co/AoRysO3cTl ★ https://t.co/6EfH83uORS ★Host #ThinkBIGSundayWithMarsha®★📚Author★ Marketing Influencer ★,https://pbs.twimg.com/profile_images/1359379516284489728/UXOMcFGl_normal.jpg,Tech
